Serbian,English
porodicom,family
znaèi,mean
nevolju,distress
stolicu,chair
живот,Life
materijal,material
pustimo,lets
odgovoriti,to respond
lepi,pretty
marta,Marta
znanja,knowledge
tijela,bodies
dopusti,allow
igraj,Play
neznam,I do not know
predati,hand over
niki,Niki
margaret,Margaret
crkva,the church
skidaj,take off
razvod,divorce
mačke,cats
srednjoj,middle
vratit,return
najzad,at last
zaboraviš,you forget
optužbe,allegations
г,g
nedeljno,weekly
amerike,america
opasna,dangerous
neophodno,necessary
napravite,make
pozive,calls
dženi,Jenny
omiljena,favorite
kći,daughter
scenu,scene
pravimo,we make
predmet,subject
odeljenje,department
otvorim,open
ispričati,tell
drveta,wood
vraćaš,you're coming back
alison,Alison
sprat,the floor
им,and M
nastavlja,continues
različite,different
smatram,consider
uspeh,success
nervozna,nervous
klijenta,client
eva,eva
avionu,plane
povodom,regarding
probam,i try
pitajte,ask
pošaljite,send
listi,list
daješ,you give
ostrvu,island
prekinite,knock it off
javim,call
linda,Linda
telefonu,telephone
utorak,tuesday
godišnje,per year
poznati,famous
pacijenta,patient
немој,do not
sredimo,we get to
tragova,clues
prevoz,transport
ostajem,remain
pokazala,showed
nastaviš,you continue
usne,lips
vera,faith
bazu,base
alkohol,alcohol
osiguranja,insurance
krivicu,guilty
sigurnom,safe
satima,for hours
amerika,America
naterao,made
mmm,mmm
времена,times
zapamtite,Remember
kolega,colleague
akcija,action
poštovanja,respect
zrak,Ray
видео,video
priznao,admitted
obećala,promised
snimke,shots
poslaću,I will send
amanda,Amanda
prazan,empty
fred,Fred
odveli,led
kretenu,jerk
pokušam,I try
snovi,dreams
bavi,deals
tatice,Daddy
zlata,gold
zainteresovan,interested
rob,slave
obećanje,promise
ukrali,stolen
oružjem,weapon
kose,hair
obale,coastline
своју,mine
kreći,move
nina,Nina
veš,laundry
kupili,bought
pojaviti,appear
kavu,coffee
brinuo,worried
čaja,tea
novosti,news
prijateljstvo,friendship
motiv,motif
j,j
telefonom,by phone
sjedni,sit down
posetu,visit
iznova,over
popričati,talk
leto,summer
kasniš,you're late
prirode,nature
en,en
ooh,Ooh
wow,wow
baciti,to throw
spasila,saved
iskrena,honest
nadu,hope
grejs,Grace
kuhinju,kitchen
unapred,In advance
ostavlja,leaves
plače,cries
naučiš,you learn
postaneš,you become
razmislite,think about
leš,Le s
shvatate,you understand
данас,today
три,three
rejčel,Rachel
spremite,save
nikakvih,no
нису,they are not
imaćemo,We will have
verovala,believed
igrač,player
mrak,darkness
волим,I love
iskoristio,utilized
rim,Rome
doneli,brought
nadajmo,let's hope
larry,Larry
učinimo,let's do
devojci,girl
bes,rage
eric,Eric
čisti,clean
mm,mm
vjeruješ,you believe
pomoc,help
zaštititi,protect
tužna,sad
predivna,wonderful
štiti,protect
smislu,sense
annie,Annie
gospođica,Miss
uvrede,insult
punu,full
svemiru,universe
išlo,did
pluća,lungs
ogromna,huge
prevario,cheated
stane,what does not
ženska,female
miss,Miss
dokumenta,documents
odmori,Vacations
izlazite,you're going out
intervju,an interview
endi,Andy
pomognete,help
službe,services
luka,port
priznanje,confession
boju,color
peva,sings
lois,Lois
kurvin,whore
izvesti,to take out
vile,fairies
bukvalno,literally
osumnjičeni,suspect
ludak,lunatic
minutu,minute
oblasti,fields
dim,smoke
nedostajao,missed
doktori,doctors
četvrti,fourth
lili,lily
svestan,conscious
веома,very
potrebne,needed
lekar,doctor
banci,Bank
bićete,you will be
lagano,lightly
stojiš,you stand
hoda,walk
matori,matori
upao,impressed
hleb,bread
temu,subject
leđima,back
liniji,line
paklu,hell
malih,small
događaj,an event
ugasi,turn off
нико,no one
plate,wages
ćerke,daughters
pođite,go
chris,Chris
usluge,services
licem,face
uđemo,let's get in
suzan,Susan
jednako,equally
kurs,a course
pauzu,pause
skot,scott
hoce,will
parker,Parker
dugme,button
ostalim,other
koža,goat
primili,received
jezero,the lake
magija,magic
чак,even
prekidam,hanging up
tajno,secretly
slaže,agree
pozove,invite
najboljeg,best
izbaci,throw out
pune,full
zauzeti,take
bazi,base
rođena,born
rodila,gave birth
učim,I'm learning
počinjemo,we start
nijedna,none
usluga,a favor
volja,the will
plava,blue
bazen,Swimming pool
top,top
свој,all
eli,Eli
svidelo,liked
oficir,officer
vjerovatno,probably
donese,bring
plačeš,you cry
podseća,recalls
haos,chaos
goste,guests
poslova,jobs
njihovom,their
smrću,death
sretni,happy
tačka,point
privatni,private
prijatan,pleasing
желиш,you want
gaće,pants
papira,paper
postaviti,set up
mladić,young man
priznam,confess
istraga,investigation
proverite,check
hrani,feed
pažnje,attention
godini,year
pokaže,show
umem,I can
vožnja,driving
bum,boom
radnju,action
реци,to tell
slažeš,you agree
sprema,saving
dobrom,good
ок,OK
praktično,practically
stignem,I arrive
zver,the beast
ketrin,Catherine
delove,parts
jerry,Jerry
eh,eh
nabaviti,get some
odvedem,take
uživajte,enjoy
donio,brought
polja,fields
dna,dna
vrag,Devil
stajati,stand
jezera,lakes
dnu,bottom
koncert,concert
živog,alive
smetati,bothering you
odlazak,departure
čuvam,I'm keeping
duplo,double
akcije,actions
primljeno,received
glasa,voice
reda,order
ajmo,let
okrenuo,turned
novčanik,wallet
ubojstva,murders
žrtava,victims
pozoveš,call
stavimo,we put
stali,stop
ici,go
donesite,bring
dvojicu,two
napusti,leave
pošaljem,ill send
društva,society
čuju,hear
sredini,middle
teren,ground
dolar,USD
tatom,dad
pomoću,using
megan,Megan
poznajemo,we know
tužan,sad
identitet,identity
pridruži,join
mek,mek
megi,megi
devojkama,girls
мени,the menu
džordže,George
pratiš,you are following
kuce,home
povrede,injuries
udarila,hit
kupiš,you buy
pokušajte,try
апос,apos
pokazuju,show
prstiju,fingers
probaš,you try
pakla,hell
kralju,king
zgodna,convenient
kutiji,box
čita,read
slab,weak
tacno,exactly
banka,the bank
sakrio,hid
posljednji,last
bocu,bottle
debeli,fat man
prerano,Too early
obali,shore
pomogli,helped
prazna,empty
zamka,trap
struje,streaming
bivša,former
lova,hunting
рекла,say
činilo,seemed
sinom,son
provjeriti,check
čudne,odd
proveli,spent
glasno,loud
zmija,snake
иди,go
primetila,noticed
mašinu,machine
naočare,glasses
gospod,the Lord
зна,knows
oku,eye
izvinjenje,apology
tren,tren
pomisli,think
čuda,Wonders
zvučiš,you sound
juri,chase
retko,rarely
simbol,symbol
napreduje,progress
nasilje,violence
nađite,find
pišeš,you are writing
ubit,kill
svetlosti,light
nadala,Nadala
džesi,jesse
užasan,horrible
dah,breath
tačke,points
kaze,says
celi,entire
prihvatio,accepted
grob,grave
brzinom,velocity
spoj,juncture
osoblje,staff
susan,Susan
so,salt
kontaktu,contact
treneru,coach
grešiš,you're wrong
vrijedi,it is worth
džepu,pocket
odeća,the clothes
teri,Terry
v,v
jebo,fuck
тим,the team
glumac,actor
ispao,fell out
loši,bad
bill,Bill
cete,will
pročitala,read
pucati,shoot
ema,ema
sef,boss
crvene,red
liz,liz
uhvatimo,Let's catch
grupi,group
internet,Internet
pokažeš,you show
smeju,laugh
pratimo,we are following
постоји,exists
pati,well you
alibi,alibi
smislio,came up with
odgovorio,replied
uzbuđen,excited
sjedi,sitting
činiš,you do
gubiš,you lose
paziti,be careful
bežite,run away
jadno,poor
ljudske,human
klinca,kid
zamenu,replacement
pucajte,shoot
pameti,intelligence
događaja,events
svetom,with the world
dovedite,get
poslušaj,listen
dobit,profit
derek,Derek
bobby,Bobby
dvorištu,yard
иде,it's going
pomažem,help
drugačija,different
akciju,action
izlaziš,you're going out
мораш,you must
око,eye
mesecima,for months
diše,breathes
vic,vic
cini,it makes
vila,fairy
donijeti,bring
нека,let
ispostavilo,turned out
koristite,you use
clark,Clark
ženske,female
boriš,borin
viđam,I see
boj,battle
lovac,Hunter
will,Will
fizički,physically
četvrtak,Thursday
završena,completed
direktora,director
ostavljam,I leave
čudovišta,monsters
plaćaju,pay
neæu,I won't
aktivnosti,activities
probudila,woke up
izabrala,choose
kolege,colleagues
dopustite,let
lika,character
travu,grass
твоја,yours
prestala,ceased
mrtvo,dead
javno,public
odvešću,I'll take
ulicama,streets
probati,to try
smije,laughs
smetam,bother
zemljom,land
generala,general
pristao,agreed
tomas,Thomas
policijski,police
napasti,attack
preživeo,survived
chuck,Chuck
napali,attacked
lijep,nice
zaštitim,protect
sposobnosti,abilities
zaslužuješ,you deserve
ovakvim,like this
bicikl,bike
stručnjak,expert
sestri,sister
sediš,you sit
javnosti,public
smiješ,laugh
pošao,a job
obliku,shape
pobeda,victory
zamku,trap
usuđuješ,you dare
каже,says
čuvati,store
naci,find
časti,honor
poštujem,respect
užasna,horrible
francuske,France
reši,solve
prijevod,translation
martine,Martine
ogledalo,the mirror
oteo,kidnapple
suprotnom,opposite
smešan,funny
pretnja,threat
osloboditi,break free
fotografija,photography
чекај,Wait
oka,eye
praviti,make
rame,shoulder
pitaju,they ask
prljavi,dirty
katastrofa,disaster
džime,Jimite
skinuti,take down
potpisao,signed
cigaretu,cigarette
mladiću,young man
tehnički,technical
jaje,Egg
adame,Adam
kakvom,what
šale,jokes
bla,blah
lord,lord
kartice,cards
tema,the theme
povući,to pull
susret,meeting
najveće,largest
služba,service
gorivo,fuel
grlo,throat
kontrola,control
dodjavola,damn
prepoznao,recognized
одмах,immediately
teške,heavy
jači,stronger
hitler,Hitler
srela,met
vidis,you see
sastanka,meeting
odbor,board
kazne,penalties
урадио,do
nivou,level
mužu,husband
ho,ho
mete,mete
pregled,inspection
ostanu,remain
ukusno,tasteful
kakvog,what
uhvatila,caught
poziciju,position
iznenađenja,surprises
prvih,first
zabrinuti,worried
iskoristi,take advantage
lekciju,lesson
pokušaš,you try
pištoljem,pistol
nabavio,obtained
pit,pit
ovakvu,like this
sloboda,freedom
толико,so many
stop,stop
naučili,learned
pardon,Pardon
preživeti,survive
kolač,cake
plavi,blue
istrage,investigations
različitih,different
pustila,released
suze,tears
goriva,fuels
simon,Simon
istim,same
snimanje,Recording
slobode,liberty
centi,cents
alane,Alane
prijateljem,mate
lokaciju,location
tera,tera
polju,field
pokupio,picked up
zdrav,healthy
osetim,I feel
damu,lady
zaustavimo,Let's stop
amy,Amy
rose,rose
ovakva,like this
bola,pain
predstavim,introduce
umeš,you can
pobjeći,escape
povremeno,periodically
sledi,follow
curu,girl
klark,Clark
džin,gin
duhovi,ghosts
izađite,step out
šume,Forests
povredim,hurry
sile,forces
stepeni,degrees
glupe,stupid
king,King
doci,come
jasan,clear
popiti,drink
cm,cm
predsedniče,presidential
tragovi,traces
kolica,cart
otvara,opens
trebat,need
brzi,quick
stvarnost,reality
неки,some
lisice,foxes
fudbal,football
kupovinu,purchase
platiš,you pay
kostim,costume
državi,country
trideset,thirty
tortu,cake
odnosi,relations
neverovatan,incredible
uhvatite,grasp
andy,Andy
parče,piece
veću,greater
gosti,guests
štap,stick
pronađe,find
amin,amen
ljubazni,kind
odbija,reject
prvoj,first
izmedju,between
pravio,pretend
isključi,turn off
hana,hana
elena,Elena
pretvara,converts
kompaniju,company
oprezno,carefully
kasni,running late
pomoćnik,assistant
platili,paid
otpušten,fired
povedi,take
pokupiti,to pick up
kanal,channel
laura,Laura
gradonačelnik,Mayor
del,del
charles,Charles
krenimo,let's move
učio,taught
ubijemo,we kill
fakultet,college
smetalo,bothered
jebe,fuck
дакле,so
lu,lu
pokušavala,tried
rešimo,Let's deal with
pratili,followed
stol,table
cigarete,cigarettes
brigu,worry
hoæeš,you want
dolazite,you are coming
ostanete,you stay
ispitivanje,test
bo,bo
pogledate,you look
rukavice,gloves
sneg,snow
naučim,I learn
gospoda,gentlemen
lažov,liar
promenim,change
zatvoriti,close
bratom,brother
čarls,Charles
zida,wall
vrti,spin
domaći,domestic
metu,methought
mrze,hate
ustima,mouth
pokušavajući,trying
lopta,a ball
zbunjen,confused
znajući,knowing
postojao,existed
dave,Dave
bežimo,run
milost,mercy
temperatura,temperature
lagati,lie
drugovi,comrades
devojčicu,girl
vili,villa
automobil,car
naopako,upside down
helikopter,helicopter
šetnju,walk
prilikom,occasion
lee,Lee
ćelije,cells
mužem,husband
min,minim
au,au
menadžer,manager
sanjala,dreamed
odnosu,relationship
stižu,they arrive
telefonski,telephone
zaustavim,stop
predsjednik,president
svemira,universe
njenih,her
sposobnost,ability
teta,aunt
internetu,internet
zatreba,need
krvlju,blood
starih,old
trening,training
име,Name
mačku,cat
sedeo,sat
potpis,signature
upozorio,warned
vredan,valuable
bogovi,gods
eni,eni
pričekaj,wait
bezbednost,safety
podaci,the data
br,no
treće,third
vojni,military
menjaju,change
izgubljen,lost
svideti,like
osvojio,won
sna,dream
opcija,option
spasim,rescue
mašine,machines
uglu,corner
ispričao,told
лепо,nicely
širi,wider
rouz,Rose
razumela,understood
jaknu,jacket
gospodjo,ma'am
probamo,we try
njeni,her
celoj,entire
zahvaliti,thank
popravi,fix
igrate,you play
prihvatam,I accept
poslovni,business
kreneš,you go
ispričaj,tell
suda,court
divne,wonderful
pištolja,pistol
dozvole,permit
potom,then
planiraš,you are planning
štetu,damage
roba,goods
uzimaš,you take
prilike,opportunities
trka,race
sakriti,to hide
zaradio,earned
ljubomorna,jealous
kratak,short
poštu,mail
proklete,damn
svinje,pigs
taman,just right
bejzbol,baseball
dobiju,get
razgovaraj,talk
ispočetka,start over
први,First
ostaješ,you stay
žalost,grief
normalna,normal
pravde,justice
zabavan,amusing
istorija,the history
takmičenje,competition
rez,incision
svatko,everyone
uveravam,reassure
poslat,sent
mobitel,Cell Phone
džuli,Julie
učinilo,made
osveta,revenge
odlaze,leaving
ponos,pride
teoriju,theory
časa,o'clock
kevine,Kevin
rešio,resolved
okolnosti,circumstances
uhvatim,catch
bježi,flee
emily,Emily
nazovem,call
kriješ,you're hiding
mili,darling
problemima,Problems
gospodara,lord
elizabet,Elizabeth
mozgu,brain
vrha,top
izmislio,invented
francuskoj,France
javnost,The public
zaboravimo,let's forget
имате,you have a
zabranjeno,prohibited
borili,fought
legenda,legend
brzina,speed
zena,woman
pljačka,robbery
zlu,evil
kupatilu,bathroom
odlučiti,decide
pobedili,beat
sistemu,system
zaštite,protection
osetila,felt
pad,fall
gledajući,looking at
poželiš,you want
izlazak,exit
centra,center
zatvorite,shut up
prigovor,objection
bioskop,the cinema
kg,kg
malopre,just before
bacila,threw
радим,I'm working
pijana,drunken
reæi,tell
nemci,nemci
tiše,you are
alis,but with
dozvolim,permit
prestanem,stop
situacije,situations
humor,humor
trojica,three
nadamo,hopefully
mosta,bridge
nebi,not
komplikovano,complicated
mrežu,network
istorije,history
novinar,journalist
место,place
grace,Grace
pođeš,you go
ekipu,team
šaljem,I'm sending
начин,the way
košulju,shirt
koristila,used
жена,woman
granicu,border
мном,me
treća,third
poslednjeg,last
njezin,hers
ludost,madness
pilule,pill
vuk,Wolf
nazvaću,I will call
хоћу,I will
poželim,wish
tipu,type
silazi,go down
tablete,tablets
poklone,gifts
mozete,you can
džona,john
demon,demon
poslednju,last
izlaze,exit
gad,bastard
pisati,to write
skinem,take off
prica,story
povukao,pulled
sestrom,sister
časni,honorable
proverimo,let's check
pobedu,victory
uživao,enjoyed
sviđam,I like it
primiti,to receive
nazvali,named
sofi,sofi
priuštiti,afford
svrha,the purpose
puls,pulse
muzike,music
svakih,every
preći,get across
sigurnosti,safety
student,the student
kontroliše,controlled
vašom,yours
počinju,start
period,period of time
sredstva,resources
najbolju,best
impresivno,impressive
noćna,night
razredu,grade
tina,Tina
obojicu,both
pokušamo,we try
čuvajte,keep
scott,Scott
sinovi,sons
crnu,black
otisci,print
torbe,bags
peder,fagot
međusobno,mutually
stranac,the stranger
pretvorio,converted
radnik,worker
baviš,you do
после,after
odmoru,vacation
penis,penis
neverovatna,amazing
major,Major
razlike,differences
slusaj,listen
bavim,I do
čizme,boots
cipela,shoe
ugla,corners
razumeli,understood
richard,Richard
bet,Beth
izbaciti,kick out
obrok,meal
alan,alan
jadan,miserable
kurve,whores
saznaš,you find out
pokuša,tries
oblast,area
mladu,young
debela,thick
ulje,oil
trebale,needed
pamćenje,memory
stene,rocks
naprave,devices
rezultati,results
vere,faith
čujte,hear
karter,carter
ubijanje,killing
тобом,you
baba,babe
zli,evil
utiče,affects
kap,drop
promenu,change
ričard,Richard
rep,tail
spavaju,they sleep
car,car
naručio,commissioned
nalik,like
pomažeš,you're helping
videću,I will see
ženski,ladies
govora,speech
partneri,partners
oprezni,careful
naterati,drive
prijateljicu,friend
posledice,consequences
uništen,destroyed
pice,a drink
starac,old man
traku,tape
odbrane,defense
izvinim,Sorry
podalje,away
čitati,read
reku,river
хтео,wanted
mestima,places
isusa,Jesus
poludela,crazy
gubitnik,loser
drugarica,friend
povezan,connected
veru,faith
drag,darling
mamac,bait
glavnog,chief
mraz,frost
otvoriš,you open
знао,knew
pandur,cop
laboratoriju,Laboratory
nedostajati,to miss
kontroli,control
skladište,stock
kamenje,stones
smete,you are
jenny,Jenny
umešan,involved
spasili,saved
američke,American
pobegli,escaped
brajane,Brian
povredi,get injured
sjajne,shiny
dolazak,arrival
buku,noise
pošalje,send
utakmica,Match
ženo,woman
struju,electricity
ове,these
ваш,yours
kapiraš,can you dig it
barbara,Barbara
imat,imat
fini,fine
radnje,actions
праву,real
dečaci,boys
govoreći,saying
krilo,lap
priroda,the nature
maloj,small
poverenja,confidence
predivan,gorgeous
svetski,worldwide
strast,passion
skupo,expensive
saslušaj,listen
neprijatelji,enemies
uobičajeno,habitually
roku,Rock
detetu,child
tijekom,during
majicu,shirt
pogledala,looked
preuzeo,took over
заједно,together
napisati,write
nedostajala,missed
kazes,you say
scenario,scenario
pokažite,point
hitna,emergency
uspjeti,succeed
počnimo,let's begin
masku,mask
gade,gade
uticaj,influence
bacite,throw
tipovi,Tips
energija,energies
započeo,started
trudi,trudy
ulazim,I'm in
ponoć,midnight
klase,class
razmišlja,thinking
porota,jury
cene,prices
bele,white
pogrešila,wrong
den,Den
urađeno,done
uzbuđena,excited
razum,reason
pomognu,help
restorana,restaurant
engleske,England
poverovati,believer
službi,service
odande,from there
nakit,jewelery
facu,face
glumi,starring
magiju,magic
sezone,Season
dublje,deeper
takvom,such
mila,mall
prokletu,damn
recept,recipe
otkrije,detect
priznaj,admit it
pogodim,guess
stiglo,arrive
greh,sin
daniel,Daniel
ramena,shoulder
živo,alive
postavi,place
čišćenje,cleaning
zahvaljujem,thank you
ubijeni,killed
podrum,basement
hranom,by food
firma,firm
porazgovaramo,we are talking
radnji,actions
članovi,Members
ključevi,keys
otvaraj,open
verovali,believed
mirna,calm
počnu,begin
sport,sport
нисмо,we are not
šalite,joke
žensko,gender female
napredak,progress
nožem,knife
komada,pieces
obavim,do
meksiko,Mexico
poseduje,possesses
kartica,card
mr,mr
zamolila,asked
brojeve,numbers
pažljiv,careful
sanjam,dream
даље,further
scena,scene
vlast,power
kraljice,queen
smeješ,you are laughing
jo,jo
poseti,visit
duge,long
my,MY
met,meth
zakonu,law
baze,bases
vazduhu,air
десило,happened
činim,act
probuditi,wake up
други,the second
srcem,heart m
besan,furious
udobno,comfortably
špijun,spy
kažite,say
slova,letters
ranjen,wounded
sveže,fresh
predaleko,too far
prekinuti,stop
otvorila,opened
ijude,Iyude
radnika,workers
umetnik,artist
muškarcima,men
odbila,refused
sudar,collision
nula,zero
održati,maintain
gola,naked
krovu,roof
slici,pic
zahvalna,grateful
uloga,the role
prevara,scam
kit,whale
televiziji,television
marti,Marty
visine,height
usamljen,lonely
moraćete,you'll have to
okolnostima,circumstances
biznis,the business
pobjegao,escaped
prilazi,approaches
studio,studio
molio,begged
ponuditi,offer
desna,right
privremeno,temporarily
zapad,west
dešavaju,they happen
nikuda,Nikuda
itko,anyone
peti,fifth
skup,expensive
pojas,belt
smeo,bold
izvučem,pull out
vrednosti,values
kost,bone
poneo,brought
ručka,handle
tražeći,asking for
popis,list
povesti,take
javiću,I'll Javie
hladna,cold
zaglavio,stuck
vestima,news
majmun,monkey
nastup,performance
državni,state
prebrzo,too fast
odnose,relations
osvetu,revenge
uključuje,involves
hodati,walk
očekivali,expected
nauka,science
slabo,poorly
šon,Sean
putuje,travels
engleskoj,England
zaustavio,stopped
skinuo,took off
santa,Santa
опет,again
specijalni,special
управо,right on
dokazuje,proves
pravdu,justice
sresti,meet
uživati,enjoy
otkrijemo,we find out
душо,honey
planira,plans
nazvat,call
pogođen,affected
tužilac,prosecutor
roberte,Robert
sluga,servant
primetili,noticed
samom,just M
amen,amen
slažemo,we agree
viši,hanging
upozoravam,warn
idioti,idiots
muški,male
planina,Mountain
budna,awake
agenti,agents
odgovorite,reply
firmu,firm
hodniku,corridor
signala,signal
izvuče,pull out
ostaviću,I will leave
cijela,entire
lucy,Lucy
budalu,fool
francuska,France
zadržim,keep
odustao,gave up
fotografiju,photography
neugodno,unpleasantly
pravilima,rules
eksperiment,experiment
nikakva,no
pojačanje,reinforcement
tunel,tunnel
nastavio,proceed
otisak,imprint
istovremeno,at the same time
najgora,worst
poprilično,pretty
postojati,exist
potrajati,take
visoka,high
služe,serve
bojao,feared
nalazimo,we find
proba,rehearsal
dječak,boy
spavali,slept
lični,personal
uživaš,you're enjoying
staklo,glass
dosadan,boring
ljubazan,kind
zaljubio,fell in love
sv,sv
gospo,Mrs
slučajeva,cases
mišel,Michelle
vraćaju,return
odvede,take
firme,firms
maria,Maria
blagoslov,blessing
smit,smith
pronađi,find
brda,hills
pročitaj,read
izabrali,chose
srediću,I'll take care of
odbranu,defense
mamice,Mommy
suprugu,wife
novoj,new
bolesno,sickly
picu,pizza
rusi,Russian
zvučalo,sounded
њих,them
priči,approach
novcu,money
izdrži,keep holding on
uspjeli,succeed
довољно,enough
opustite,relax
meg,meg
šok,shock
p,p
pokušavate,you are trying
preda,submit
anna,Anna
završeno,Finished
z,z
osobi,person
izvuci,pull out
plave,blue
razlogom,reason
видимо,we see
užas,horror
predstave,performances
poziciji,position
važne,matter
eksplozija,blast
dobrodošla,well come
razumemo,we understand
pričaćemo,We will talk
vožnje,driving
cevi,tube
potrebu,need
odjeću,clothes
ponosni,proud
poljubio,kissed
zatvorenika,prisoner
veštice,witchcraft
lista,list
lekara,physician
prešli,crossed
primjer,example
prihvatim,accept
kriminalac,criminal
baza,base
pobednik,the winner
vil,vil
platila,paid
umetnosti,art
dobrodošlicu,welcome
год,yr
fora,forera
dovde,here
seksualno,sexually
osecam,I feel
bezbednosti,security
zvuci,it sounds
pametni,smart
uništila,destroyed
dobijaš,you get
broju,number
medicinski,medical
dušice,honey
jug,south
primi,receive
činiti,do
navikao,use to
srčani,heart
vampir,vampire
niže,lower
položaju,position
zajebavaš,you're fucking
broja,number
saznaju,they find out
ukazuje,indicates
majmuna,monkey
mac,sword
jedanput,once
bande,gangs
marš,march
unajmio,hired
politika,politics
glumica,actress
pite,pies
postanu,become
tvoga,yours
prirodi,nature
sever,north
uzet,taken
budimo,let's be
ispit,exam
povratka,return
jok,Nope
posvuda,everywhere
заиста,really
uspeva,thrive
ministar,minister
trke,racing
raspoložen,in the mood
čitala,read
zgodno,conveniently
vodili,led
видиш,you see
blagoslovio,blessed
roman,novel
naučnici,scientists
ovakvom,like this
lažni,fake
prolaze,pass
johne,John
lude,crazy
matt,Matt
rođeni,Native
dobijete,you get
отац,Father
nalazim,I find
zadržao,retained
jebiga,fuck
puši,smoke
ponudi,Offer
dejv,Dave
joey,Joey
горе,above
časove,classes
približava,approaching
stavlja,puts
povezani,connected
pedeset,fifty
otkrijem,I'll find out
ponoći,midnight
metra,meter
једном,one time
čiste,clean
поново,again
pobijediti,win
nil,nil
zaslužujem,I deserve
uhvaćen,caught
smrad,stink
ubilo,in any
sastanke,Meetings
emisiju,show
слушај,listen
provalio,broke
jezivo,creepy
gužva,crowd
tačku,point
učitelju,teacher
pasa,dog
punom,full
brodom,By boat
propustila,missed
gladni,hungry
keri,keri
ponašanja,behavior
пута,times
kuæi,home
brinula,cared
kamiona,truck
imale,had
razne,different
starija,older
trci,run
vratićemo,We will return
lmam,lmam
gordon,Gordon
rešim,solve
utakmice,matches
aerodromu,airport
krećem,letting go
vrednost,value
razmišljati,ponder
дошао,come
pitamo,we ask
šone,shawn
slava,Patron Saint Day
bitku,battle
rodio,gave birth
amerikanac,american
torbi,bag
milijardi,billion
postavim,set
uznemiren,upset
maja,Maja
snaći,put
rođenja,birth
vijest,news
filmova,movies
duso,honey
imaćeš,you will have
kyle,Kyle
čarape,socks
puške,rifles
sadrži,contains
bitka,battle
predpostavljam,I guess
čuvara,guards
oprema,equipment
prisustvo,presence
pravite,you make
slažete,you agree
aparat,apparatus
pobede,victories
častim,honor
džeki,Jackie
ух,uh
dodje,come
odgovora,response
mel,mell
vegas,Vegas
snimio,recorded
podigao,lifted
брзо,quickly
idući,going
duguje,he owes
krvarenje,bleeding
belo,White
osnovi,grounds
izgubimo,we lose
napustili,left
ulazite,you are in
porodični,family
teži,tends to
keti,Kathy
preživeli,survivor
lažna,fake
metka,bullet
odabrao,chose
pravda,justice
talenat,talent
svetog,holy
sahranu,bury
misije,missions
kucu,house
dogovora,agreement
vozača,driver
uništili,destroyed
ostaću,I will stay
alfa,alpha
uplašila,frightened
gay,gay
garaži,garage
slobodi,freedom
osećati,feel
komšije,neighbors
uključi,turn on
napravljen,made
službu,senior
divlje,wild
sećanje,remembrance
zadržite,keep
uciniti,do
poželi,wish it
visočanstvo,Highness
hrabro,boldly
zadovoljni,satisfied
ruski,Russian
gume,tires
struja,current
zasad,for now
miki,Miki
alice,Alice
snažan,vigorous
visi,hanging
očekivati,expect
кроз,through the
razgovarate,You are talking
kreću,move
jebenog,fucking
izaziva,causing
napišem,wrote
lošu,bad
africi,Africa
njihovoj,their
pritiskom,by pressing
novina,newspaper
biljke,plants
pokupim,I'm picking up
tekst,lyrics
ružno,ugly
sudijo,judge
kupuje,buys
šerifa,sheriff
šalju,sending
aii,aii
pročitati,read
brinu,worry
podrška,support
дешава,happens
извините,Sorry
upoznaj,get to know
romantično,romantic
krava,cow
zatvorenik,prisoner
kukavice,cuckoo
izveo,carried out
strašan,awesome
доле,down
sačekati,wait
izbacio,knocked out
lily,Lily
usudio,dared
hram,temple
brodova,ships
malena,little one
mnogim,many
pomenuo,mentioned
lošeg,bad
dvanaest,twelve
oženiti,marry
kakvim,what
kopiju,copy
odmora,vacation
savjet,advice
radujem,looking forward to
snovima,dreams
kasnimo,we are late
detektiva,detective
upozna,meet
одавде,out of here
ekipe,teams
кажеш,you say
shvaćaš,you understand
твоје,yours
pokazali,showed
vašington,Washington
činjenicu,fact
hodnik,hallway
mirni,quiet
šifra,code
nosa,nose
pobegnem,run away
narednih,for the next
uzmete,you take
okrenuti,to turn
najboljem,best
dovoljna,sufficient
dovoljan,sufficient
obaveza,obligation
ceni,prices
жели,wants
tjedana,wonders
oduvijek,always
moci,be able to
kupite,buy
bara,bar
potragu,search
чему,what
reka,a river
završilo,finished
zaspao,fell asleep
извини,Excuse me
kraljicu,queen
ujače,uncle
plašio,scared
glupane,dumbass
manji,smaller
ostaju,remain
nagrade,prizes
rajan,Ryan
suđenja,trials
poverujem,I believe
papa,bye-bye
carl,Carl
prednosti,advantages
imanje,property
predajem,teach
posade,crew
abby,Abby
pitu,pie
alat,tool
kraljevstvo,kingdom
сигурно,safe
panduri,cops
drugari,buddy
dokažem,I prove
tejlor,Taylor
razmišljanje,thinking
demona,demon
držala,holding
ubijete,you kill
preživi,survive
profesora,professor
neces,you will not
kurvo,bitch
dik,dix
prodavnice,stores
себе,yourself
trupe,troops
верујем,I believe
proveriti,check
pomisao,thought
eksplozije,blast
uklapa,fits
koristeći,using
iskreni,honest
provedem,I spend
plaše,frighten
nameru,intention
brus,bruce
врата,the door
mušterija,the customer
mere,measure
bolesni,sick
lak,light
zajedničko,in common
nemogu,can not
vratiće,will return
motora,motor
ranu,wound
oci,Fathers
